serial_no,word,page_no,level
748,round the bend,78,upper_intermediate
749,round-faced,33,upper_intermediate
750,round-neck,47,upper_intermediate
751,royal,45,upper_intermediate
752,rural,3,upper_intermediate
753,rushing,63,upper_intermediate
754,sadistic,34,upper_intermediate
755,safety helmet,41,upper_intermediate
756,safety officer,40,upper_intermediate
757,salary,56,upper_intermediate
758,salt,46,upper_intermediate
759,satin,15,upper_intermediate
760,sauna,16,upper_intermediate
761,savings account,56,upper_intermediate
762,scandal,53,upper_intermediate
763,scarcity,8,upper_intermediate
764,scared out of,79,upper_intermediate
765,scared stiff,79,upper_intermediate
766,scent,71,upper_intermediate
767,scorching,32,upper_intermediate
768,screech,61,upper_intermediate
769,screw,95,upper_intermediate
770,script,40,upper_intermediate
771,seal,90,upper_intermediate
772,second-class,12,upper_intermediate
773,security,11,upper_intermediate
774,seething,68,upper_intermediate
775,self-,12,upper_intermediate
776,self-catering,50,upper_intermediate
777,self-important,34,upper_intermediate
778,seminar,16,upper_intermediate
779,sender,8,upper_intermediate
780,sensation,53,upper_intermediate
781,serial,53,upper_intermediate
782,series,53,upper_intermediate
783,set-up,14,upper_intermediate
784,setback,14,upper_intermediate
785,shake-up,14,upper_intermediate
786,sheepish,73,upper_intermediate
787,shell,1,upper_intermediate
788,sherbet,16,upper_intermediate
789,shock,11,upper_intermediate
790,shocking-pink,12,upper_intermediate
791,shoot,53,upper_intermediate
792,shop-lifter,96,upper_intermediate
793,short cut,59,upper_intermediate
794,short story,42,upper_intermediate
795,short-sighted,12,upper_intermediate
796,shriek,70,upper_intermediate
797,shuttlecock,41,upper_intermediate
798,sickly,43,upper_intermediate
799,sidewalk,93,upper_intermediate
800,siesta,16,upper_intermediate
801,sight,89,upper_intermediate
802,since then,20,upper_intermediate
803,single-handed,2,upper_intermediate
804,singlehood,99,upper_intermediate
805,sitcom,53,upper_intermediate
806,sitting,74,upper_intermediate
807,skilled worker,40,upper_intermediate
808,skittles,41,upper_intermediate
809,slalom,16,upper_intermediate
810,sleet,32,upper_intermediate
811,slim-hipped,12,upper_intermediate
812,slippery,64,upper_intermediate
813,slither,73,upper_intermediate
814,sloth,11,upper_intermediate
815,slow lane,95,upper_intermediate
816,slowcoach,78,upper_intermediate
817,sly,34,upper_intermediate
818,small talk,82,upper_intermediate
819,smart,47,upper_intermediate
820,smoker,8,upper_intermediate
821,snatch,71,upper_intermediate
822,snooker,41,upper_intermediate
823,snorkel,16,upper_intermediate
824,so-called,12,upper_intermediate
825,social security,56,upper_intermediate
826,social trends,53,upper_intermediate
827,socialist,67,upper_intermediate
828,soft-hearted,12,upper_intermediate
829,sought,19,upper_intermediate
830,spark off,22,upper_intermediate
831,sparkle,61,upper_intermediate
832,spartan,15,upper_intermediate
833,spatter,17,upper_intermediate
834,species,46,upper_intermediate
835,splosh,17,upper_intermediate
836,sponsorship,11,upper_intermediate
837,spring mind,74,upper_intermediate
838,sprinkle,17,upper_intermediate
839,sputnik,16,upper_intermediate
840,squash,45,upper_intermediate
841,stage,42,upper_intermediate
842,stain,37,upper_intermediate
843,stake,19,upper_intermediate
844,stamina,26,upper_intermediate
845,standstill,89,upper_intermediate
846,star,51,upper_intermediate
847,star in,2,upper_intermediate
848,starboard,49,upper_intermediate
849,stardom,11,upper_intermediate
850,state of affairs,25,upper_intermediate
851,stationary,7,upper_intermediate
852,stealth,11,upper_intermediate
853,steep,49,upper_intermediate
